 0.0, 0.0, 1281
-4.4935, -3.3077, 345.344707, 2324
-4.4935, -3.3077, 345.344707, 2324
-4.4874, -3.3077, 345.344707, 2322
-4.4691, -3.3077, 345.344707, 2324
-4.4691, -3.3077, 345.344707, 2324
-4.4660, -3.3077, 345.344707, 2324
-4.4569, -3.3077, 345.344707, 2330
-4.4447, -3.3077, 345.344707, 2324
-4.4325, -3.3077, 345.344707, 2324
-4.4386, -3.3077, 345.344707, 2323
-4.4264, -3.3077, 345.344707, 2323
-4.4325, -1.1676, 344.344528, 2324
-4.4386, -1.1676, 344.344528, 2324
-4.4233, -1.1676, 344.344528, 2322
-4.4294, -1.1676, 344.344528, 2329
-4.4355, -1.1676, 344.344528, 2322
-4.4447, -1.1676, 344.344528, 2324
-4.4325, -1.1676, 344.344528, 2324
-4.4264, -1.1676, 344.344528, 2324
-4.4264, -1.1676, 344.344528, 2322
-4.4233, -1.1676, 344.344528, 2324
-4.4020, -1.1676, 344.344528, 2324
-4.4111, -1.1676, 344.344528, 2332
-3.3929, -1.1676, 344.344528, 2322
-3.3838, -1.1676, 344.344528, 2324
-3.3899, -1.1676, 344.344528, 2324
-3.3838, -1.1676, 344.344528, 2324
-3.3899, -1.1676, 344.344528, 2322
-3.3807, -1.1676, 344.344528, 2324
-3.3807, -1.1676, 344.344528, 2324
-3.3929, -1.1676, 344.344528, 2332
-3.3838, -1.1676, 344.344528, 2323
-3.3960, -1.1676, 344.344528, 2322
-3.3868, -1.1676, 344.344528, 2323
-3.3838, -1.1676, 344.344528, 2324
-3.3747, -1.1676, 344.344528, 2324
-3.3747, -1.1676, 344.344528, 2322
-3.3716, -1.1676, 344.344528, 2323
-3.3533, -1.1676, 344.344528, 2330
-3.3472, -1.1676, 344.344528, 2323
-3.3564, -1.1676, 344.344528, 2324
-3.3655, -1.1676, 344.344528, 2324
-3.3411, -1.1676, 344.344528, 2322
-3.3503, -1.1676, 344.344528, 2323
-3.3533, -1.1676, 344.344528, 2324
-3.3381, -1.1676, 344.344528, 2324
-3.3472, -1.1676, 344.344528, 2329
-3.3533, -1.1676, 344.344528, 2324
-3.3564, -1.1676, 344.344528, 2324
-3.3594, -1.1676, 344.344528, 2324
-3.3625, -1.1676, 344.344528, 2322
-3.3594, -1.1676, 344.344528, 2324
-3.3594, -1.1676, 344.344528, 2324
-3.3564, -1.1676, 344.344528, 2324
-3.3381, -1.1676, 344.344528, 2329
-3.3411, -1.1676, 344.344528, 2324
-3.3503, -1.1676, 344.344528, 2322
-3.3442, -1.1676, 344.344528, 2324
-3.3442, -1.1676, 344.344528, 2324
-3.3503, -1.1676, 344.344528, 2323
-3.3472, -1.1676, 344.344528, 2322
-3.3533, -1.1676, 344.344528, 2324
-3.3442, -1.1676, 344.344528, 2332
-3.3472, -1.1676, 344.344528, 2324
-3.3350, -1.1676, 344.344528, 2322
-3.3228, -1.1676, 344.344528, 2324
-3.3259, -1.1676, 344.344528, 2324
-3.3167, -1.1676, 344.344528, 2324
-3.3198, -1.1676, 344.344528, 2322
-3.3228, -1.1676, 344.344348, 2324
-3.3289, -1.1676, 344.344348, 2329
-3.3198, -1.1676, 344.344348, 2324
-3.3411, -1.1676, 344.344348, 2322
-3.3411, -1.1676, 344.344348, 2324
-3.3411, -1.1676, 344.344348, 2324
-3.3594, -1.1676, 344.344348, 2324
-3.3594, -1.1676, 344.344348, 2322
-3.3838, -1.1676, 344.344348, 2324
-3.3807, -1.1676, 344.344348, 2333
-3.3807, -1.1676, 344.344348, 2324
-3.3716, -1.1676, 344.344348, 2324
-3.3594, -1.1676, 344.344348, 2322
-3.3716, -1.1676, 344.344348, 2324
-3.3564, -1.1676, 344.344348, 2324
-3.3564, -1.1676, 344.344348, 2324
-3.3533, -1.1676, 344.344348, 2322
